id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,male,36,189.0,82.0,26.0,101.0,41.0,150.0
1,female,64,163.0,60.0,8.0,85.0,39.7,34.0
2,female,51,161.0,64.0,7.0,84.0,39.8,29.0
3,male,20,192.0,90.0,25.0,105.0,40.7,140.0
4,female,38,166.0,61.0,25.0,102.0,40.6,146.0
5,female,26,156.0,56.0,19.0,100.0,40.5,103.0
6,female,21,172.0,73.0,3.0,81.0,38.3,9.0
7,male,46,188.0,94.0,23.0,100.0,40.8,145.0
8,female,33,166.0,63.0,25.0,107.0,40.5,161.0
9,male,65,185.0,88.0,23.0,104.0,41.0,185.0
10,male,20,186.0,89.0,21.0,94.0,40.3,86.0
11,female,41,161.0,63.0,6.0,91.0,39.1,28.0
12,male,25,203.0,99.0,29.0,111.0,40.8,202.0
13,male,57,188.0,91.0,12.0,105.0,40.1,87.0
14,female,44,179.0,77.0,6.0,84.0,39.3,23.0
15,male,38,180.0,85.0,11.0,92.0,40.0,47.0
16,male,27,186.0,81.0,15.0,101.0,40.1,80.0
17,female,51,171.0,71.0,1.0,77.0,37.7,3.0
18,male,26,198.0,99.0,3.0,89.0,38.6,10.0
19,male,51,187.0,94.0,3.0,81.0,38.8,10.0
20,male,48,165.0,69.0,4.0,79.0,38.6,13.0
21,female,32,171.0,71.0,7.0,82.0,39.7,23.0
22,male,32,177.0,78.0,9.0,91.0,39.6,35.0
23,male,72,186.0,92.0,29.0,98.0,40.9,264.0
24,female,45,184.0,79.0,30.0,108.0,41.1,187.0
25,female,22,164.0,67.0,8.0,83.0,39.7,29.0
26,male,48,164.0,64.0,11.0,95.0,39.7,51.0
27,male,54,179.0,87.0,21.0,92.0,40.7,105.0
28,male,41,182.0,89.0,15.0,93.0,40.1,72.0
29,female,40,162.0,64.0,4.0,88.0,39.1,16.0
30,female,42,156.0,51.0,19.0,94.0,40.3,98.0
31,male,43,182.0,86.0,12.0,94.0,39.9,61.0
32,female,53,150.0,55.0,5.0,81.0,38.8,20.0
33,female,54,163.0,60.0,28.0,110.0,40.8,195.0
34,male,54,189.0,94.0,9.0,85.0,40.1,36.0
35,male,31,186.0,84.0,20.0,101.0,40.8,106.0
36,female,46,169.0,69.0,20.0,97.0,40.7,109.0
37,male,36,165.0,78.0,6.0,81.0,39.2,15.0
38,male,47,191.0,92.0,17.0,96.0,40.4,95.0
39,female,40,152.0,51.0,27.0,102.0,40.8,165.0
40,female,71,178.0,79.0,1.0,76.0,37.6,4.0
41,female,61,161.0,60.0,29.0,111.0,41.0,209.0
42,male,78,158.0,59.0,20.0,94.0,40.7,133.0
43,female,40,161.0,62.0,15.0,88.0,40.3,66.0
44,female,21,161.0,56.0,18.0,98.0,40.5,92.0
45,male,32,208.0,104.0,19.0,98.0,40.0,101.0
46,female,50,171.0,64.0,28.0,116.0,41.2,214.0
47,female,35,170.0,70.0,20.0,92.0,40.7,92.0
48,female,45,183.0,82.0,25.0,99.0,41.1,136.0
49,female,26,180.0,72.0,18.0,102.0,40.4,98.0
50,female,25,164.0,65.0,7.0,91.0,39.8,31.0
51,male,65,169.0,74.0,16.0,102.0,40.3,110.0
52,male,34,179.0,88.0,4.0,86.0,39.1,15.0
53,male,64,199.0,99.0,16.0,95.0,40.4,105.0
54,male,32,196.0,97.0,6.0,91.0,39.4,26.0
55,female,62,170.0,69.0,7.0,87.0,39.4,30.0
56,female,31,174.0,69.0,27.0,109.0,40.4,170.0
57,male,20,203.0,104.0,4.0,91.0,38.9,15.0
58,female,44,169.0,64.0,7.0,90.0,39.6,30.0
59,female,42,161.0,61.0,16.0,96.0,40.3,84.0
60,female,61,153.0,51.0,17.0,100.0,40.2,113.0
61,female,32,160.0,57.0,14.0,99.0,40.0,77.0
62,male,20,172.0,74.0,21.0,103.0,40.5,108.0
63,female,64,153.0,51.0,12.0,91.0,40.1,63.0
64,male,31,177.0,78.0,16.0,98.0,40.2,78.0
65,female,20,155.0,51.0,9.0,82.0,39.8,28.0
